iter	Passed	Remaining
0	230	230086
1	278	139133
2	294	97874
3	319	79521
4	342	68171
5	368	61020
6	406	57726
7	429	53239
8	458	50497
9	477	47236
10	518	46615
11	554	45664
12	573	43530
13	597	42065
14	669	43938
15	727	44771
16	796	46071
17	854	46603
18	906	46801
19	953	46740
20	1010	47085
21	1078	47929
22	1144	48610
23	1193	48533
24	1246	48629
25	1316	49309
26	1381	49783
27	1458	50625
28	1531	51278
29	1566	50640
30	1601	50064
31	1629	49283
32	1694	49655
33	1755	49876
34	1818	50150
35	1884	50452
36	1954	50869
37	2024	51253
38	2086	51421
39	2159	51819
40	2244	52493
41	2315	52825
42	2399	53405
43	2474	53757
44	2548	54086
45	2624	54437
46	2692	54597
47	2757	54686
48	2817	54682
49	2888	54875
50	2968	55236
51	3044	55505
52	3103	55448
53	3201	56077
54	3279	56344
55	3358	56616
56	3429	56732
57	3446	55970
58	3516	56084
59	3581	56102
60	3646	56126
61	3734	56496
62	3806	56615
63	3885	56822
64	3949	56809
65	4016	56841
66	4084	56881
67	4163	57070
68	4206	56751
69	4268	56711
70	4340	56788
71	4414	56903
72	4482	56927
73	4547	56909
74	4638	57208
75	4659	56647
76	4723	56624
77	4795	56682
78	4865	56724
79	4893	56275
80	4957	56250
81	5043	56463
82	5059	55898
83	5130	55945
84	5199	55975
85	5284	56159
86	5367	56327
87	5454	56531
88	5528	56593
89	5596	56587
90	5657	56509
91	5723	56488
92	5797	56537
93	5871	56587
94	5899	56199
95	5952	56056
96	6022	56061
97	6095	56105
98	6175	56201
99	6239	56153
100	6304	56120
101	6371	56096
102	6440	56085
103	6464	55693
104	6479	55227
105	6545	55200
106	6612	55189
107	6695	55297
108	6770	55348
109	6797	54995
110	6839	54774
111	6911	54795
112	6978	54776
113	7057	54852
114	7123	54822
115	7199	54863
116	7266	54838
117	7329	54787
118	7401	54792
119	7461	54714
120	7545	54812
121	7627	54890
122	7699	54894
123	7772	54907
124	7790	54535
125	7855	54487
126	7880	54167
127	7948	54148
128	8028	54207
129	8093	54162
130	8131	53942
131	8199	53918
132	8278	53966
133	8356	54004
134	8432	54030
135	8457	53728
136	8526	53711
137	8600	53720
138	8638	53511
139	8699	53441
140	8770	53433
141	8833	53373
142	8919	53451
143	8956	53238
144	9025	53222
145	9091	53176
146	9153	53115
147	9221	53088
148	9290	53063
149	9351	52993
150	9413	52928
151	9483	52907
152	9549	52865
153	9619	52847
154	9684	52796
155	9756	52786
156	9827	52770
157	9880	52656
158	9958	52673
159	10036	52693
160	10109	52683
161	10156	52537
162	10213	52447
163	10281	52409
164	10350	52381
165	10426	52382
166	10502	52386
167	10576	52377
168	10667	52451
169	10732	52400
170	10800	52358
171	10865	52304
172	10940	52299
173	11001	52227
174	11057	52128
175	11120	52064
176	11189	52028
177	11260	51999
178	11334	51986
179	11390	51890
180	11470	51903
181	11542	51878
182	11605	51813
183	11673	51769
184	11744	51741
185	11821	51735
186	11899	51733
187	11972	51709
188	12036	51646
189	12118	51664
190	12194	51652
191	12266	51619
192	12328	51549
193	12389	51474
194	12445	51377
195	12510	51319
196	12578	51271
197	12653	51252
198	12731	51247
199	12815	51260
200	12882	51207
201	12938	51112
202	13011	51083
203	13078	51032
204	13149	50993
205	13217	50943
206	13289	50911
207	13364	50887
208	13438	50862
209	13517	50850
210	13598	50850
211	13678	50842
212	13765	50861
213	13842	50843
214	13911	50793
215	13977	50734
216	14046	50683
217	14121	50654
218	14198	50634
219	14279	50625
220	14354	50599
221	14428	50565
222	14497	50514
223	14561	50446
224	14625	50375
225	14697	50336
226	14770	50297
227	14842	50255
228	14908	50194
229	14978	50145
230	15057	50126
231	15130	50088
232	15211	50075
233	15272	49995
234	15352	49975
235	15424	49932
236	15490	49869
237	15565	49835
238	15650	49831
239	15727	49804
240	15828	49850
241	15911	49840
242	15978	49776
243	16054	49743
244	16124	49690
245	16202	49659
246	16267	49591
247	16344	49560
248	16415	49509
249	16489	49468
250	16561	49420
251	16641	49395
252	16722	49373
253	16789	49311
254	16853	49239
255	16916	49162
256	16991	49122
257	17074	49107
258	17149	49063
259	17216	48999
260	17293	48964
261	17355	48886
262	17441	48874
263	17509	48814
264	17583	48768
265	17656	48722
266	17729	48671
